Make Id,Make,Make Model,Model,Trim Description,Engine Id,Engine Fuel Type,Engine Cylinders,Engine Size,Engine Horsepower Hp,Engine Rpm,Engine Drive Type,Engine Transmission,Body Id,Body Type,Body Doors,Body Seats
2,Audi,Audi e-tron Sportback,e-tron Sportback,Premium Plus 4dr SUV AWD w/55 (electric DD),6401,electric,,,402,,all wheel drive,1-speed direct drive,6401,SUV,5,5
2,Audi,Audi e-tron Sportback,e-tron Sportback,Prestige 4dr SUV AWD w/55 (electric DD),6402,electric,,,402,,all wheel drive,1-speed direct drive,6402,SUV,5,5
2,Audi,Audi Q3,Q3,Premium 4dr SUV AWD w/45 TFSI (2.0L 4cyl Turbo 8A),6403,gas,I4,2,228,5000,all wheel drive,8-speed shiftable automatic,6403,SUV,5,5
2,Audi,Audi Q3,Q3,Premium Plus 4dr SUV AWD w/45 TFSI (2.0L 4cyl Turbo 8A),6405,gas,I4,2,228,5000,all wheel drive,8-speed shiftable automatic,6405,SUV,5,5
2,Audi,Audi Q3,Q3,Premium Plus S line 4dr SUV AWD w/45 TFSI (2.0L 4cyl Turbo 8A),6406,gas,I4,2,228,5000,all wheel drive,8-speed shiftable automatic,6406,SUV,5,5
2,Audi,Audi Q3,Q3,Premium S line 4dr SUV AWD w/45 TFSI (2.0L 4cyl Turbo 8A),6404,gas,I4,2,228,5000,all wheel drive,8-speed shiftable automatic,6404,SUV,5,5
2,Audi,Audi Q3,Q3,Prestige S line 4dr SUV AWD w/45 TFSI (2.0L 4cyl Turbo 8A),6407,gas,I4,2,228,5000,all wheel drive,8-speed shiftable automatic,6407,SUV,5,5
2,Audi,Audi Q5,Q5,Premium 4dr SUV AWD w/55 TFSI e (2.0L 4cyl Turbo gas/electric plug-in hybrid 7AM),6414,plug-in hybrid,I4,2,362,,all wheel drive,7-speed automated manual,6414,SUV,5,5
2,Audi,Audi Q5,Q5,Premium 4dr SUV AWD w/45 TFSI (2.0L 4cyl Turbo 7AM),6408,gas,I4,2,248,5000,all wheel drive,7-speed automated manual,6408,SUV,5,5
2,Audi,Audi Q5,Q5,Premium Plus 4dr SUV AWD w/45 TFSI (2.0L 4cyl Turbo 7AM),6410,gas,I4,2,248,5000,all wheel drive,7-speed automated manual,6410,SUV,5,5
2,Audi,Audi Q5,Q5,Premium Plus 4dr SUV AWD w/55 TFSI e (2.0L 4cyl Turbo gas/electric plug-in hybrid 7AM),6415,plug-in hybrid,I4,2,362,,all wheel drive,7-speed automated manual,6415,SUV,5,5
2,Audi,Audi Q5,Q5,Premium Plus Titanium 4dr SUV AWD w/45 TFSI (2.0L 4cyl Turbo 7AM),6411,gas,I4,2,248,5000,all wheel drive,7-speed automated manual,6411,SUV,5,5
2,Audi,Audi Q5,Q5,Premium Titanium 4dr SUV AWD w/45 TFSI (2.0L 4cyl Turbo 7AM),6409,gas,I4,2,248,5000,all wheel drive,7-speed automated manual,6409,SUV,5,5
2,Audi,Audi Q5,Q5,Prestige 4dr SUV AWD w/55 TFSI e (2.0L 4cyl Turbo gas/electric plug-in hybrid 7AM),6416,plug-in hybrid,I4,2,362,,all wheel drive,7-speed automated manual,6416,SUV,5,5
2,Audi,Audi Q5,Q5,Prestige 4dr SUV AWD w/45 TFSI (2.0L 4cyl Turbo 7AM),6412,gas,I4,2,248,5000,all wheel drive,7-speed automated manual,6412,SUV,5,5
2,Audi,Audi Q5,Q5,Prestige Titanium 4dr SUV AWD w/45 TFSI (2.0L 4cyl Turbo 7AM),6413,gas,I4,2,248,5000,all wheel drive,7-speed automated manual,6413,SUV,5,5
2,Audi,Audi Q7,Q7,Premium 4dr SUV AWD w/55 TFSI (3.0L 6cyl Turbo gas/electric mild hybrid 8A),6419,mild hybrid,V6,3,335,5000,all wheel drive,8-speed shiftable automatic,6419,SUV,5,7
2,Audi,Audi Q7,Q7,Premium 4dr SUV AWD w/45 TFSI (2.0L 4cyl Turbo 8A),6417,gas,I4,2,248,5000,all wheel drive,8-speed shiftable automatic,6417,SUV,5,7
2,Audi,Audi Q7,Q7,Premium Plus 4dr SUV AWD w/45 TFSI (2.0L 4cyl Turbo 8A),6418,gas,I4,2,248,5000,all wheel drive,8-speed shiftable automatic,6418,SUV,5,7
